"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu-focal-rax-dfw-0027048694",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","21 Oct 2021 21:58:39 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
21-10 22:05:10,21.120,1.000,76.483,0.250,0.125,2714080,121204,1237484,3708636,744632.181,744604.187,0,971.786,0,111.975,5414,6676,1.410,1.600,1.180,3,0,0,0,0,23,107,0,49,0
21-10 22:05:11,13.880,1.751,83.158,0.375,0,2681644,153528,1237544,3708652,93472.641,95064.265,0,424.166,0,36.014,2439,2929,1.380,1.590,1.170,1,0,39.015,0,0,23,107,0,49,0
21-10 22:05:12,12.122,1.125,85.980,0,0.125,2715180,119944,1237588,3708652,0,0,0,367.916,0,34.992,1632,2271,1.380,1.590,1.170,2,0,0,0,0,23,107,0,49,0
21-10 22:05:13,12.750,0.750,84.624,0.625,0,2720156,126328,1237576,3697136,410572.715,410505.716,0,1123.991,0,119.999,3805,4652,1.380,1.590,1.170,1,0,1.000,0,69.999,23,108,0,52,0
21-10 22:05:14,14.628,0.625,84.144,0.125,0.125,2722956,123200,1237704,3697332,480406.650,480420.653,0,724.161,0,78.017,3243,4213,1.380,1.590,1.170,3,0,0,0,0,23,108,0,51,0
21-10 22:05:15,22.120,0.625,75.858,0,0.125,2723320,122608,1237804,3697396,817247.119,817261.116,0,699.843,0,58.987,4097,4828,1.380,1.590,1.170,1,0,0,0,0,23,108,0,51,0
21-10 22:05:16,10.625,3.250,84.373,0.500,0.125,2674528,171084,1238000,3697448,82429.692,84563.632,8.000,1127.968,1.000,113.997,4020,4513,1.350,1.580,1.170,1,0,147.996,0,0,23,107,0,51,0
21-10 22:05:17,12.002,1.375,86.015,0.125,0,2712652,132908,1238052,3697448,142.024,4367.747,0,628.107,0,43.007,1482,1932,1.350,1.580,1.170,1,0,1.000,0,0,23,107,0,51,0
21-10 22:05:18,11.510,2.252,84.827,0.500,0.125,2665000,180404,1238176,3697464,123363.768,123519.909,4.004,3443.119,1.001,209.190,3928,4260,1.350,1.580,1.170,1,0,119.108,0,0,23,107,0,53,0
21-10 22:05:19,9.236,8.737,81.253,0,0.125,2665752,178072,1238200,3697988,349.476,10218.692,123.815,195.707,5.991,17.973,6372,9985,1.350,1.580,1.170,3,0,282.577,0,0,23,107,0,53,0
21-10 22:05:20,15.135,10.007,73.299,0,0.250,2697556,146080,1238200,3697796,298.201,7278.899,4.003,40.027,1.001,10.007,5894,6102,1.350,1.580,1.170,2,0,382.257,0,0,23,107,0,51,0
21-10 22:05:21,24.376,9.375,64.252,0,0,2759232,121144,1237592,3662596,851.021,2859.071,120.003,960.024,8.000,50.001,6179,10728,1.400,1.590,1.180,4,0,155.004,0,238.006,25,107,0,51,0
21-10 22:05:22,41.373,11.625,45.373,0.125,0.125,2835836,125224,1236124,3582396,26522.860,37062.406,251.989,2135.908,33.999,115.995,6666,7741,1.400,1.590,1.180,5,0,383.983,0,526.977,25,111,0,51,0
21-10 22:05:23,45.371,12.124,40.372,0.500,0,2972284,124332,1233680,3449204,136632.659,137530.585,7.999,7855.348,1.000,610.949,13233,13710,1.400,1.590,1.180,4,0,147.988,0,737.939,25,119,0,52,0
21-10 22:05:24,42.006,16.252,40.881,0,0.375,3062748,128968,1231756,3357064,312.046,14120.062,28.004,2704.395,4.001,124.018,9917,67410,1.400,1.590,1.180,5,0,476.070,0,637.093,25,119,0,50,0
21-10 22:05:25,41.441,13.481,42.689,0.250,0.125,3155856,130380,1229572,3265684,59863.814,61089.070,19.972,5647.963,1.997,458.348,15119,14046,1.400,1.590,1.180,3,1,236.663,0,530.245,25,135,0,50,0
21-10 22:05:26,25.535,9.513,61.959,0.376,0,3206816,126748,1228508,3221572,326.442,8685.761,40.054,10414.101,7.009,616.835,10945,10546,1.530,1.610,1.190,2,0,171.232,0,311.422,26,135,0,49,0
21-10 22:05:27,27.247,12.249,59.869,0.250,0,3270456,120960,1227092,3166236,259.972,14239.476,43.995,2303.753,4.999,118.987,8325,7806,1.530,1.610,1.190,3,0,593.936,0,515.945,26,135,0,49,0
21-10 22:05:28,34.358,12.619,51.225,0.125,0.625,3390212,125268,1224024,3048688,108553.786,117135.658,227.890,3814.165,7.996,192.907,9061,10333,1.530,1.610,1.190,10,0,235.887,0,781.624,26,147,0,51,0
21-10 22:05:29,35.005,8.251,55.758,0,0.125,3465488,142936,1221420,2962252,53058.012,55764.420,12.002,8537.289,2.000,760.115,8099,12040,1.530,1.610,1.190,4,0,107.016,0,627.095,26,149,0,54,0
21-10 22:05:30,31.380,5.626,61.510,0,0.250,3583060,121980,1218444,2871188,30374.708,30374.708,4.001,3340.518,1.000,142.022,4764,10225,1.530,1.610,1.190,3,0,6.001,0,754.117,26,155,0,50,0
21-10 22:05:31,24.000,2.375,72.875,0.125,0,3640740,123760,1216636,2816436,72.000,86.000,0,1824.009,0,95.000,2040,2511,1.570,1.620,1.190,2,0,0,0,396.002,26,155,0,50,0
21-10 22:05:32,24.380,2.375,72.389,0,0,3671620,146904,1213376,2767192,7528.506,8898.780,560.112,1936.387,15.003,93.019,2173,2593,1.570,1.620,1.190,2,0,2.000,0,462.092,26,157,0,50,0
21-10 22:05:33,27.369,13.497,57.863,0.500,0.125,3629520,182884,1213532,2772996,82344.543,89420.043,4583.028,599.873,157.967,44.990,13973,13641,1.570,1.620,1.190,5,0,498.894,2.000,0,26,161,0,52,0
21-10 22:05:34,24.232,8.244,64.702,0.125,0.125,3649052,160188,1213592,2774844,7132.658,8771.430,175.868,603.548,6.995,35.973,10111,11962,1.570,1.620,1.190,5,0,95.928,0,0,26,161,0,48,0
21-10 22:05:35,43.127,9.500,45.752,0.125,0,3671252,177676,1212244,2739068,224862.894,228228.042,432.019,2176.096,61.003,128.006,8533,8630,1.570,1.620,1.190,5,0,124.005,57.003,277.012,26,165,0,50,0
21-10 22:05:36,43.768,8.003,46.644,0.125,0,3760884,138800,1210880,2691340,527.215,527.215,32.013,1872.762,3.001,88.036,5444,6081,1.760,1.660,1.210,4,0,46.019,0,371.151,26,165,0,50,0
21-10 22:05:37,44.010,8.877,46.761,0,0.125,3840960,127304,1208404,2628784,134506.609,134506.609,148.035,2960.696,12.003,126.030,7980,7861,1.760,1.660,1.210,6,0,59.014,0,639.150,26,173,0,51,0
21-10 22:05:38,47.879,10.501,39.003,1.125,0.500,3830364,161720,1207236,2606340,210827.342,210827.342,1256.109,3420.298,150.013,237.021,15092,40572,1.760,1.660,1.210,5,0,25.002,0,316.027,26,171,0,52,0
21-10 22:05:39,27.000,12.000,57.249,0.625,0.250,3876484,129084,1206848,2593888,321452.107,328342.045,187.998,2099.981,41.000,218.998,12557,20715,1.760,1.660,1.210,2,0,322.997,44.000,115.999,26,174,0,57,0
21-10 22:05:40,23.752,10.501,63.005,1.500,0,3849108,188596,1205652,2562528,184513.684,185371.757,8.001,31106.644,2.000,1439.122,10255,9569,1.760,1.660,1.210,3,0,197.017,0,288.024,26,174,0,62,0
21-10 22:05:41,32.626,10.375,55.753,0.125,0,3907376,130092,1205684,2563472,208.009,7464.336,36.002,480.022,5.000,31.001,7495,9707,1.860,1.680,1.220,3,0,180.008,0,0,26,174,0,62,0
21-10 22:05:42,39.373,12.874,46.123,0,0.125,3997084,127560,1202592,2486408,253.986,6957.624,11.999,3123.831,2.000,146.992,7947,8227,1.860,1.680,1.220,4,0,322.983,0,669.964,26,174,0,60,0
21-10 22:05:43,46.653,11.757,40.899,0.250,0.125,4016752,129436,1201888,2464948,178326.748,179505.447,276.164,2989.773,29.017,191.113,9658,12905,1.860,1.680,1.220,6,0,107.063,0,157.093,26,176,0,64,0
21-10 22:05:44,50.057,5.992,41.319,0.624,0.250,4135312,127776,1197872,2357336,38736.280,41344.730,71.902,12522.956,3.995,1038.586,6377,8469,1.860,1.680,1.220,4,0,5.992,0,1142.445,26,180,0,62,0
21-10 22:05:45,40.417,5.881,51.178,0.375,0.125,4188220,175176,1193664,2266136,341005.009,341005.009,256.268,7119.433,46.048,609.636,6750,10070,1.860,1.680,1.220,3,0,8.008,40.042,877.917,26,194,0,70,0
21-10 22:05:46,35.980,3.248,59.343,0.375,0,4249112,126144,1193088,2254664,131732.942,131732.942,391.786,3038.338,14.992,318.826,4400,5775,1.950,1.710,1.230,3,0,4.997,0,149.918,26,198,0,68,0
21-10 22:05:47,31.744,10.998,55.364,0.250,0.250,4259696,130564,1192452,2241588,137523.495,144061.188,599.880,1443.711,21.996,97.980,9720,10182,1.950,1.710,1.230,3,0,324.935,0,149.970,26,202,0,73,0
21-10 22:05:48,30.009,10.628,57.018,0.125,0.250,4218464,170428,1192596,2241760,75265.483,77277.110,292.091,1232.385,9.003,83.026,8784,10332,1.950,1.710,1.230,3,0,152.047,0,0,26,198,0,75,0
21-10 22:05:49,42.115,8.248,49.363,0,0,4328900,126324,1190016,2182856,5767.564,9209.707,811.798,3286.182,26.993,143.964,5698,5160,1.950,1.710,1.230,5,0,118.970,0,553.862,27,202,0,75,0
21-10 22:05:50,42.507,7.126,48.132,0.875,0,4331724,149184,1188868,2159532,119199.237,119199.237,3772.577,3968.607,119.018,230.035,5413,5217,1.950,1.710,1.230,4,0,34.005,0,291.045,27,202,0,78,0
21-10 22:05:51,44.318,5.243,49.436,0.250,0,4438192,147532,1186264,2059692,157.796,161.791,1677.836,2944.202,49.936,129.833,3713,3878,2.120,1.740,1.240,4,0,4.994,0,602.223,27,202,0,76,0
21-10 22:05:52,44.183,7.009,48.188,0.250,0.125,4416840,185332,1185512,2043588,148137.097,148151.115,889.171,953.255,42.055,60.079,5552,9369,2.120,1.740,1.240,4,0,112.148,0,151.199,27,198,0,80,0
21-10 22:05:53,29.710,6.117,62.791,0.125,0.125,4464720,135380,1185528,2045616,718.043,10839.551,2632.491,199.734,70.905,10.985,4169,4431,2.120,1.740,1.240,3,0,138.815,0,0,27,198,0,78,0
21-10 22:05:54,34.164,4.505,59.568,0.626,0,4535440,123164,1182940,1990420,77356.418,77370.434,256.293,11473.114,6.007,930.063,4151,4241,2.120,1.740,1.240,4,0,5.006,0,553.633,27,202,0,79,0
21-10 22:05:55,33.086,3.746,61.427,0.250,0.250,4491244,172760,1182724,1984968,531358.871,531296.944,563.333,918.912,20.975,83.901,6241,7277,2.120,1.740,1.240,4,0,8.989,0,82.902,27,206,0,77,0
21-10 22:05:56,33.811,6.136,59.107,0.250,0,4522932,144108,1182120,1983144,26916603.636,26916617.662,16505.760,1278.305,389.703,77.139,6455,7098,3.310,2,1.330,3,0,8.014,0,168.303,27,211,0,81,0
21-10 22:05:57,33.694,4.243,60.150,0,0.125,4510536,174212,1180564,1968340,629563.924,629563.924,255.576,2192.361,5.990,117.804,7235,8414,3.310,2,1.330,6,0,9.983,0,371.384,27,216,0,87,0
21-10 22:05:58,35.675,5.132,54.827,1.252,0.125,4540704,128148,1180652,1983632,67938127.192,67938183.271,2331.271,660.927,461.648,58.081,11673,12757,3.310,2,1.330,5,0,8.011,452.635,0,27,221,0,98,0
21-10 22:05:59,26.731,4.497,65.578,1.499,0.125,4516560,177776,1179120,1959316,4505747.862,4510549.404,851.387,17975.058,63.954,474.658,5712,6246,3.310,2,1.330,3,0,78.943,49.964,355.744,27,216,0,103,0
21-10 22:06:00,22.256,3.626,73.146,0.125,0.250,4489156,205052,1179136,1959572,37727.752,37844.786,260.074,272.078,7.002,19.005,3039,3735,3.310,2,1.330,2,0,11.003,1.000,0,27,219,0,103,0
21-10 22:06:01,23.002,3.250,73.007,0.125,0,4514880,178756,1179168,1959640,93723.466,93765.470,640.065,284.029,15.002,22.002,3535,5170,3.200,2,1.330,6,0,16.002,0,0,27,223,0,100,0
21-10 22:06:02,14.499,4.875,78.743,0.375,0.250,4453256,239736,1179296,1960004,58560.495,82292.265,451.958,1551.854,12.999,127.988,5539,6590,3.200,2,1.330,1,0,246.977,0,0,27,219,0,100,0
21-10 22:06:03,13.242,1.249,85.199,0,0,4489240,203572,1179308,1960172,682.592,682.592,0,67.959,0,5.996,2040,2991,3.200,2,1.330,2,0,0.999,0,0,27,219,0,99,0
21-10 22:06:04,13.131,0.750,84.288,0,0,4449972,242840,1179392,1960088,91865.064,91865.064,0,372.166,0,37.017,2805,4118,3.200,2,1.330,1,0,11.005,0,0,27,219,0,99,0
21-10 22:06:05,12.623,1.125,85.113,0.125,0,4485596,206872,1179456,1960368,11227.462,11737.392,0,287.961,0,34.995,2292,3557,3.200,2,1.330,1,0,1.000,0,0,27,219,0,99,0
21-10 22:06:06,12.250,1.875,84.748,0,0,4447912,244464,1179480,1960416,110677.901,110677.901,0,143.996,0,10.000,3213,4124,3.030,1.980,1.330,1,0,78.998,0,0,27,219,0,101,0
21-10 22:06:07,12.253,1.625,85.147,0.250,0.250,4480544,211760,1179512,1960456,3654.947,8306.151,0,264.068,0,23.006,2220,3288,3.030,1.980,1.330,2,0,1.000,0,0,27,219,0,98,0
21-10 22:06:08,12.621,1.625,84.726,0,0.125,4501904,190300,1179556,1960512,152710.546,152710.546,0,227.937,0,23.993,2965,4042,3.030,1.980,1.330,1,0,0,0,0,27,219,0,100,0
21-10 22:06:09,10.877,2.876,84.769,0,0,4471408,220568,1179580,1960716,268.060,8742.950,0,404.090,0,23.005,3186,4131,3.030,1.980,1.330,1,0,140.031,0,0,27,219,0,95,0
21-10 22:06:10,11.996,1.125,85.344,0.125,0,4500828,191052,1179640,1960752,7558.279,7558.279,0,299.892,0,31.988,2342,3581,3.030,1.980,1.330,1,0,0,0,0,27,219,0,95,0
21-10 22:06:11,12.252,1.750,84.891,0,0,4461984,229824,1179660,1960804,122319.363,127077.272,0,168.032,0,12.002,3317,4368,2.860,1.960,1.330,1,0,78.015,0,0,27,219,0,97,0
21-10 22:06:12,12.747,1.500,85.233,0,0.125,4496468,195300,1179700,1960804,4266.143,4266.143,0,199.960,0,22.995,2163,3272,2.860,1.960,1.330,1,0,0,0,0,27,219,0,97,0
21-10 22:06:13,12.365,1.749,84.681,0.250,0,4451936,239640,1179720,1960976,122490.925,122504.913,0,163.866,0,9.992,3251,4170,2.860,1.960,1.330,1,0,77.936,0,0,27,219,0,96,0
21-10 22:06:14,11.886,1.501,85.579,0.125,0,4481360,210148,1179780,1960984,15370.141,20125.515,0,300.276,0,37.034,2511,3745,2.860,1.960,1.330,1,0,1.001,0,0,27,219,0,96,0
21-10 22:06:15,12.612,1.998,84.290,0.125,0.125,4438680,252688,1179840,1961036,133819.708,133833.694,0,283.713,0,35.964,3497,4616,2.860,1.960,1.330,1,0,27.972,0,0,27,219,0,96,0
21-10 22:06:16,11.889,1.377,85.723,0,0,4475060,216292,1179840,1961052,194.222,4868.575,0,0,0,0,2349,3293,2.710,1.950,1.330,1,0,52.060,0,0,27,219,0,96,0
21-10 22:06:17,12.626,1.250,85.130,0,0,4497660,193580,1179880,1961116,154026.934,154040.934,0,288.017,0,26.002,3091,4179,2.710,1.950,1.330,2,0,0,0,0,27,219,0,99,0
21-10 22:06:18,11.999,2.000,84.742,0,0,4465360,225744,1179920,1961196,6407.385,15092.551,0,267.974,0,25.998,3304,4375,2.710,1.950,1.330,1,0,139.987,0,0,27,219,0,99,0
21-10 22:06:19,12.373,1.125,84.862,0.500,0,4498072,192984,1179940,1961224,89.986,103.984,0,5971.098,0,698.894,2278,3114,2.710,1.950,1.330,2,1,0,0,0,27,219,0,96,0
21-10 22:06:20,9.635,4.755,84.210,0.125,0.125,4441864,249032,1180004,1961320,150786.596,159148.058,12.012,756.766,2.002,55.056,6519,7390,2.710,1.950,1.330,0,0,381.386,0,0,27,219,0,99,0
21-10 22:06:21,1.498,0.125,97.509,0,0.125,4444528,246348,1180004,1961340,327.612,11735.094,0,0,0,0,1618,2836,2.500,1.920,1.320,1,0,4.994,0,0,27,219,0,99,0
21-10 22:06:22,13.386,1.751,83.943,0.375,0,4480380,210364,1180100,1961376,7761.318,8123.613,0,2433.981,0,153.125,2829,3960,2.500,1.920,1.320,1,0,6.005,0,0,27,219,0,99,0
21-10 22:06:23,12.617,1.249,84.824,0,0,4503364,187368,1180100,1961384,111857.550,111857.550,0,0,0,0,2510,3446,2.500,1.920,1.320,2,0,0.999,0,0,27,223,0,98,0
21-10 22:06:24,9.004,6.753,82.660,0.375,0.500,4445452,242428,1180172,1964160,21670.123,54463.929,2645.114,436.184,73.031,39.016,5831,6367,2.500,1.920,1.320,2,0,208.088,0,0,27,223,0,99,0
21-10 22:06:25,10.112,4.744,83.396,0.250,0.125,4462260,224244,1180236,1965468,11147.144,90571.420,866.922,902.878,25.968,83.896,4748,5378,2.500,1.920,1.320,1,0,159.801,0,0,27,223,0,99,0
21-10 22:06:26,12.768,1.377,84.621,0,0,4500072,186396,1180256,1965484,112.160,112.160,0,152.217,0,13.019,2029,2974,2.380,1.900,1.320,1,0,4.006,0,0,27,223,0,99,0
21-10 22:06:27,12.490,0.874,85.559,0.250,0.125,4536972,149344,1180312,1965580,111.914,111.914,0,607.532,0,47.963,2305,3456,2.380,1.900,1.320,2,0,0,0,0,27,223,0,99,0
21-10 22:06:28,12.874,1.125,84.494,0.125,0.125,4560144,126056,1180420,1965588,41540.134,41540.134,0,367.975,0,47.997,2826,4082,2.380,1.900,1.320,1,0,2.000,0,0,27,227,0,99,0
21-10 22:06:29,16.004,2.251,80.396,0.125,0,4492364,193616,1180436,1965792,1712.445,2503.651,180.047,140.036,9.002,11.003,4197,6046,2.380,1.900,1.320,2,0,45.012,0,0,28,224,0,96,0
21-10 22:06:30,12.501,2.000,84.631,0.125,0,4503092,182800,1180472,1965844,6734.458,6734.458,4.000,280.019,1.000,22.001,2477,3624,2.380,1.900,1.320,1,0,1.000,1.000,0,27,223,0,97,0
21-10 22:06:31,12.485,1.124,85.273,0,0,4539840,146008,1180484,1965876,335.598,335.598,0,135.837,0,9.988,1890,2701,2.270,1.890,1.310,1,0,0.999,0,0,27,223,0,95,0
21-10 22:06:32,13.513,0.626,84.583,0.125,0,4550400,135320,1180540,1965944,139449.218,139449.218,0,344.339,0,31.031,3021,3745,2.270,1.890,1.310,1,0,1.001,0,0,27,229,0,96,0
21-10 22:06:33,12.626,1.250,85.008,0,0,4465092,220624,1180556,1965932,988.095,3823.367,0,72.007,0,7.001,2172,3025,2.270,1.890,1.310,1,0,13.001,0,0,27,223,0,96,0
21-10 22:06:34,12.751,1.375,84.882,0.125,0,4499792,185824,1180620,1965968,14945.166,14945.166,0,268.021,0,35.003,2351,3563,2.270,1.890,1.310,1,0,0,0,0,27,223,0,94,0
21-10 22:06:35,13.608,0.375,84.521,0,0.125,4503896,181540,1180688,1966080,10575.992,10759.765,0,255.686,0,30.962,2238,3242,2.270,1.890,1.310,1,0,0,0,0,27,223,0,94,0
21-10 22:06:36,10.012,5.632,82.472,0.250,0,4450868,233776,1180744,1966820,101261.881,111862.326,1810.125,448.527,92.108,23.027,6126,6999,2.160,1.870,1.310,1,1,211.248,0,0,27,224,0,92,0
21-10 22:06:37,4.000,1.000,93.873,0.250,0,4416220,267940,1180792,1967256,40071.958,3122841.806,303.992,627.984,19.000,44.999,3255,4083,2.160,1.870,1.310,0,0,1.000,0,0,27,223,0,92,0
21-10 22:06:38,1.000,0.250,97.874,0,0.125,4416164,267940,1180828,1967276,6738.906,6738.906,0,199.997,0,22.000,1846,3138,2.160,1.870,1.310,0,0,0,0,0,27,223,0,91,0
21-10 22:06:39,0.750,0.125,97.722,0,0.125,4416184,267908,1180840,1967276,2918.171,2881.182,0,67.981,0,5.998,1618,2893,2.160,1.870,1.310,0,0,1.000,0,0,27,223,0,91,0
21-10 22:06:40,1.125,0,97.712,0.250,0,4416232,267728,1180936,1967312,5618.797,5708.762,0,555.782,0,54.978,2141,3419,2.160,1.870,1.310,1,0,0,0,0,27,223,0,82,0
21-10 22:06:41,0.751,0.125,98.249,0,0,4416200,267760,1180936,1967312,0,0,0,0,0,0,1474,2682,1.990,1.840,1.310,0,0,0,0,0,27,223,0,82,0
21-10 22:06:42,2.375,0.625,95.859,0,0.125,4425332,258548,1180992,1967336,130245.640,5822.045,23.996,311.949,3.999,28.995,2023,3168,1.990,1.840,1.310,1,0,8.999,0,0,27,223,0,77,0
21-10 22:06:43,6.376,2.375,90.261,0.125,0,4427512,256204,1181012,1967476,126317.906,3275.386,56.007,116.014,10.001,5.001,2090,2993,1.990,1.840,1.310,4,0,14.002,0,0,27,223,0,77,0
21-10 22:06:44,6.000,7.625,84.746,0.500,0.125,4427704,255484,1181100,1967952,15167.363,15167.363,195.992,455.981,27.999,40.998,2597,3963,1.990,1.840,1.310,1,0,5.000,0,0,27,223,0,73,0
21-10 22:06:45,11.747,2.874,83.725,0.125,0,4427876,244452,1181160,1978752,12248.399,12248.399,155.954,307.909,18.994,29.991,3380,4103,1.990,1.840,1.310,1,0,114.966,0,0,27,223,0,73,0
21-10 22:06:46,5.002,1.376,92.910,0,0,4418972,252900,1181168,1979200,251695.141,5554.099,12.005,12.005,3.001,2.001,2243,2956,1.830,1.810,1.300,1,0,19.007,0,0,27,223,0,64,0
21-10 22:06:47,20.240,1.374,77.086,0.125,0.250,4424900,244580,1181240,1981520,1854.062,1918.029,91.953,699.646,3.998,51.974,5326,6832,1.830,1.810,1.300,2,0,5.997,0,0,27,223,0,64,0
21-10 22:06:48,6.877,1.250,90.152,0,0,4425012,243880,1181288,1982060,128603.967,11110.366,0,252.076,0,21.006,3010,4009,1.830,1.810,1.300,1,0,16.005,0,0,27,223,0,56,0
21-10 22:06:49,7.508,1.877,89.718,0.125,0.250,4417120,251588,1181320,1982212,255332.524,8316.616,140.145,256.265,5.005,13.013,2533,3252,1.830,1.810,1.300,1,0,20.021,0,0,27,223,0,56,0
21-10 22:06:50,6.865,1.123,90.239,0.374,0,4425500,238656,1181352,1986732,245179.006,9972.991,4193.688,1993.001,100.848,314.527,2561,3335,1.830,1.810,1.300,0,1,11.982,0,0,27,223,0,53,0
21-10 22:06:51,10.502,1.875,86.139,0.125,0.125,4417152,246560,1181364,1987164,362485.998,8545.367,652.104,112.018,23.004,5.001,2696,3007,1.680,1.780,1.290,0,0,26.004,0,0,27,223,0,53,0
21-10 22:06:52,10.489,1.623,86.910,0.250,0,4424588,238864,1181432,1987352,386473.546,20512.851,251.740,407.580,9.990,34.964,2833,3547,1.680,1.780,1.290,2,0,18.980,0,0,27,223,0,53,0
21-10 22:06:53,11.517,1.878,86.252,0,0.125,4426072,237364,1181444,1987356,378732.494,7952.706,0,92.136,0,4.006,2507,2970,1.680,1.780,1.290,1,0,18.027,0,0,27,223,0,53,0
21-10 22:06:54,5.248,0.750,92.335,0.125,0,4417456,245892,1181516,1987372,141356.227,19341.548,0,387.831,0,34.985,2362,3477,1.680,1.780,1.290,0,0,6.997,0,0,27,223,0,49,0
21-10 22:06:55,9.745,2.249,86.826,0.250,0.125,4425488,237688,1181584,1987476,372151.851,23044.049,0,2786.434,0,346.805,2966,3730,1.680,1.780,1.290,1,0,18.989,0,0,27,223,0,49,0
21-10 22:06:56,10.131,2.752,86.427,0,0,4416964,246192,1181604,1987476,482640.480,10526.379,0,168.102,0,11.007,2791,3307,1.550,1.750,1.280,2,0,33.020,0,0,27,223,0,43,0
21-10 22:06:57,10.625,2.125,85.996,0,0,4417776,245304,1181668,1987488,361992.434,7725.668,0,631.973,0,45.998,2915,3547,1.550,1.750,1.280,1,0,23.999,0,0,27,223,0,43,0
21-10 22:06:58,11.883,2.627,84.179,0.125,0,4417272,245524,1181724,1987716,369187.649,13991.969,0,236.151,0,24.015,3003,3846,1.550,1.750,1.280,1,0,24.015,0,0,27,221,0,26,2
21-10 22:06:59,9.623,2.499,87.354,0,0.125,4426384,236020,1181756,1987632,252268.212,6088.557,0,419.900,0,24.994,2434,3135,1.550,1.750,1.280,2,0,13.997,0,0,27,219,0,26,4
21-10 22:07:00,11.374,1.750,85.367,0.500,0.125,4427388,234936,1181884,1987728,385012.039,13695.685,0,2739.737,0,166.984,3335,4239,1.550,1.750,1.280,1,0,18.998,0,0,27,219,0,17,4
21-10 22:07:01,10.123,1.875,86.737,0.125,0.125,4426792,235532,1181884,1987728,377879.696,9014.657,0,91.986,0,17.997,2401,2994,1.500,1.740,1.280,1,0,17.997,0,0,27,219,0,17,4
21-10 22:07:02,9.993,1.874,86.810,0,0.250,4418724,243528,1181932,1987752,384210.994,14653.054,0,355.734,0,25.981,2931,3702,1.500,1.740,1.280,1,0,26.980,0,0,27,219,0,17,4
21-10 22:07:03,9.385,1.627,88.468,0,0,4425208,237036,1181944,1987748,372034.753,5590.887,0,108.114,0,5.005,2252,2988,1.500,1.740,1.280,2,0,14.015,0,0,27,219,0,17,4
21-10 22:07:04,10.626,2.375,85.633,0.125,0,4426588,235656,1182024,1987756,376930.562,20770.015,0,456.044,0,40.004,2995,3915,1.500,1.740,1.280,1,0,22.002,0,0,27,219,0,17,4
21-10 22:07:05,10.126,2.875,86.011,0,0,4419636,242512,1182100,1987776,493818.715,20408.592,4.001,400.051,1.000,33.004,3050,3692,1.500,1.740,1.280,1,0,31.004,1.000,0,27,219,0,17,4
21-10 22:07:06,7.494,1.624,89.559,0,0,4429024,233096,1182120,1987780,245681.424,4440.736,0,263.806,0,12.990,2233,2986,1.460,1.720,1.280,1,0,15.988,0,0,27,219,0,15,4
21-10 22:07:07,11.256,1.626,86.299,0.125,0.125,4420912,240760,1182220,1988128,379641.636,9095.166,4.002,656.373,1.001,45.026,2905,3767,1.460,1.720,1.280,1,0,24.014,0,0,27,219,0,15,4
21-10 22:07:08,10.996,1.749,86.218,0.250,0,4419804,241612,1182296,1988308,382663.119,12424.328,0,335.874,0,21.992,2808,3501,1.460,1.720,1.280,1,0,23.991,0,0,27,219,0,13,4
21-10 22:07:09,8.248,1.625,88.852,0.125,0,4425400,235728,1182348,1988544,246075.036,4801.732,23.994,247.935,5.998,11.997,2416,2983,1.460,1.720,1.280,4,0,16.996,0,0,27,219,0,13,4
21-10 22:07:10,8.880,1.501,88.175,0.375,0,4437616,223028,1182456,1988904,135184.379,10044.675,224.127,720.407,22.012,62.035,2837,3839,1.460,1.720,1.280,3,0,18.010,0,0,27,219,0,13,4
21-10 22:07:11,11.361,2.871,84.768,0.375,0,4451012,206888,1182464,1991576,201.745,215.728,2676.619,67.914,84.893,2.996,2280,2963,1.510,1.730,1.280,2,0,28.963,0,0,27,219,0,13,4
21-10 22:07:12,6.505,2.127,89.200,0.626,0.375,4417800,237172,1182524,1992428,4730.983,9028.602,736.620,412.347,27.023,27.023,3255,3884,1.510,1.730,1.280,0,0,22.019,0,0,27,219,0,11,4
21-10 22:07:13,11.117,2.498,86.185,0.125,0.125,4422056,232820,1182532,1992512,482270.333,7333.485,0,71.946,0,3.997,2546,3028,1.510,1.730,1.280,2,0,23.982,0,0,27,219,0,11,4
21-10 22:07:14,11.139,2.753,84.980,0.125,0.125,4418624,236024,1182608,1992664,377365.915,21799.857,0,436.538,0,40.049,2985,3870,1.510,1.730,1.280,2,0,24.030,0,0,27,219,0,9,4
21-10 22:07:15,10.870,2.249,85.335,0,0,4425676,228984,1182664,1992596,375825.610,18856.100,0,307.855,0,28.986,2888,3700,1.510,1.730,1.280,1,0,19.991,0,0,27,219,0,9,4
21-10 22:07:16,10.867,2.123,84.937,0.874,0.250,4427772,226888,1182664,1992596,364437.130,9296.065,0,10823.925,0,257.808,2634,3026,1.470,1.720,1.280,1,0,25.981,0,0,27,219,0,9,4
